# epoch,acc,val_acc,loss_train,val_loss
0.00,83.50,72.92,3.28,0.15
1.00,83.40,70.06,3.18,1.26
2.00,83.30,78.34,3.26,2.15
3.00,83.52,83.44,3.16,0.18
4.00,83.01,73.44,3.24,0.19
5.00,82.35,71.34,3.23,1.02
6.00,82.71,79.62,3.17,1.69
7.00,82.99,83.44,3.19,0.18
8.00,82.68,73.44,3.20,0.18
9.00,83.81,70.70,3.07,0.88
10.00,83.19,79.62,3.14,1.67
11.00,82.15,83.44,3.19,0.20
12.00,83.50,73.96,3.10,0.18
13.00,83.30,70.06,3.08,0.85
14.00,83.27,78.98,3.14,1.47
15.00,83.09,84.71,3.12,0.21
16.00,82.96,74.48,3.16,0.19
17.00,82.96,71.34,3.21,0.78
18.00,84.32,78.98,3.01,2.21
19.00,84.18,84.08,3.00,0.17
20.00,82.76,75.00,3.19,0.21
21.00,83.32,70.70,3.05,1.20
22.00,83.65,79.62,2.98,2.12
23.00,83.49,84.71,3.07,0.22
24.00,83.98,75.00,3.01,0.18
25.00,83.09,71.34,3.08,0.78
26.00,83.32,79.62,3.05,3.00
27.00,83.86,85.35,3.02,0.20
28.00,83.81,75.00,2.95,0.18
29.00,84.15,71.34,3.03,0.97
30.00,84.38,80.89,2.90,1.47
31.00,83.77,85.35,2.94,0.18
32.00,84.23,76.56,2.99,0.18
33.00,83.54,71.34,3.01,0.98
34.00,84.10,80.25,2.96,2.04
35.00,84.78,85.35,2.84,0.15
36.00,84.46,74.48,2.90,0.18
37.00,84.80,71.34,2.81,1.06
38.00,84.63,80.25,2.87,2.36
39.00,84.44,84.71,2.89,0.12
40.00,85.56,70.83,2.74,0.14
41.00,85.92,70.06,2.75,2.91
42.00,85.00,79.62,2.87,2.60
43.00,85.03,82.80,2.77,0.11
44.00,85.62,67.19,2.74,0.09
45.00,86.79,64.97,2.60,1.59
46.00,85.16,77.71,2.78,2.50
47.00,85.56,82.80,2.68,0.10
48.00,85.29,69.79,2.75,0.13
49.00,86.82,69.43,2.59,0.97
50.00,85.64,77.07,2.72,1.96
51.00,86.53,82.80,2.54,0.09
52.00,86.18,70.31,2.62,0.12
53.00,86.87,63.06,2.53,1.36
54.00,86.71,75.80,2.53,2.84
55.00,87.10,82.80,2.50,0.07
56.00,86.53,69.27,2.59,0.10
57.00,86.69,61.15,2.56,1.36
58.00,86.45,75.80,2.60,1.58
59.00,87.45,83.44,2.50,0.09
60.00,86.94,67.71,2.43,0.09
61.00,87.61,61.78,2.43,1.37
62.00,87.30,77.07,2.40,1.81
63.00,87.38,81.53,2.45,0.06
64.00,87.20,69.27,2.45,0.09
65.00,87.81,62.42,2.34,1.45
66.00,87.66,74.52,2.37,4.32
67.00,88.22,82.17,2.37,0.08
