Epoch;Acc;val_acc;Loss_train;Loss_test;
0;61.32780313491821;47.49999940395355;6.577425008789632;3.1431829929351807;
1;70.8713710308075;59.7484290599823;2.4819047687335627;1.7517526149749756;
2;75.60166120529175;71.06918096542358;2.275638946348268;0.23874083161354065;
3;80.58091402053833;64.77987170219421;1.7305708019596164;1.9551042318344116;
4;77.75933742523193;74.21383857727051;2.2163299910013112;0.04156162962317467;
5;79.25311326980591;76.72955989837646;2.152750130684049;0.0007114826003089547;
6;86.14107966423035;73.58490824699402;1.2926111965289502;0.30395224690437317;
7;73.69294762611389;59.7484290599823;4.3326480335714415;2.533510446548462;
8;86.14107966423035;76.72955989837646;1.163468479060595;4.844996452331543;
9;90.13158082962036;72.32704162597656;0.752015514826206;1.2483510971069336;
10;87.18593120574951;72.95597195625305;1.1372897246543636;2.5646169185638428;
11;88.96265625953674;77.49999761581421;0.7913160088519408;0.23428314924240112;
12;94.43983435630798;74.842768907547;0.3127971132127452;0.26359349489212036;
13;91.53527021408081;72.32704162597656;0.492251499350032;0.8585888147354126;
14;94.65460777282715;76.10062956809998;0.2950705219597072;0.40234073996543884;
15;96.1474061012268;68.55345964431763;0.21151923389268912;0.5914234519004822;
16;94.60580945014954;58.49056839942932;0.30738965394709616;2.1273748874664307;
