# epoch,acc,val_acc,loss_train,val_loss
0.00,61.33,47.50,6.58,3.14
1.00,70.87,59.75,2.48,1.75
2.00,75.60,71.07,2.28,0.24
3.00,80.58,64.78,1.73,1.96
4.00,77.76,74.21,2.22,0.04
5.00,79.25,76.73,2.15,0.00
6.00,86.14,73.58,1.29,0.30
7.00,73.69,59.75,4.33,2.53
8.00,86.14,76.73,1.16,4.84
9.00,90.13,72.33,0.75,1.25
10.00,87.19,72.96,1.14,2.56
11.00,88.96,77.50,0.79,0.23
12.00,94.44,74.84,0.31,0.26
13.00,91.54,72.33,0.49,0.86
14.00,94.65,76.10,0.30,0.40
15.00,96.15,68.55,0.21,0.59
16.00,94.61,58.49,0.31,2.13
