# epoch,acc,val_acc,loss_train,val_loss
0.00,85.86,83.72,1.03,0.40
1.00,87.62,83.80,0.92,0.28
2.00,87.34,84.78,0.95,0.35
3.00,87.97,85.75,0.85,0.15
4.00,87.45,86.03,0.83,0.27
5.00,87.97,87.71,0.80,0.18
6.00,87.67,87.43,0.78,0.12
7.00,87.12,87.29,0.76,0.14
8.00,87.83,87.71,0.73,0.12
9.00,87.64,86.17,0.77,0.18
10.00,87.93,87.85,0.76,1.64
11.00,87.78,89.66,0.75,1.69
12.00,87.34,90.92,0.76,0.07
13.00,87.97,88.80,0.69,0.18
14.00,87.13,88.13,0.78,0.17
15.00,86.86,87.99,0.77,0.37
16.00,86.95,87.43,0.76,0.16
17.00,87.42,87.57,0.76,0.27
18.00,88.69,88.27,0.70,0.15
19.00,87.71,87.85,0.69,0.10
20.00,87.23,86.87,0.70,0.12
21.00,88.40,86.73,0.69,0.11
22.00,87.61,86.73,0.71,0.12
23.00,86.80,87.57,0.70,1.43
24.00,87.59,89.80,0.72,1.99
25.00,86.57,89.80,0.70,0.07
26.00,87.01,86.33,0.71,0.23
27.00,87.75,86.45,0.69,0.19
28.00,87.06,83.24,0.70,0.55
29.00,87.38,81.98,0.70,0.48
30.00,86.75,80.73,0.70,0.51
31.00,86.62,82.40,0.70,0.27
32.00,86.89,80.59,0.68,0.45
33.00,86.47,82.12,0.70,0.33
34.00,85.45,81.56,0.70,0.27
35.00,86.69,80.31,0.66,0.56
36.00,86.38,82.12,0.68,1.36
37.00,86.86,81.01,0.66,1.64
38.00,86.08,79.19,0.70,0.41
