# epoch,acc,val_acc,loss_train,val_loss
0.00,78.79,85.03,1.47,0.33
1.00,87.57,88.27,1.04,0.23
2.00,86.87,88.69,1.00,0.44
3.00,86.92,87.57,1.04,0.15
4.00,87.10,88.41,1.10,0.35
5.00,86.92,87.57,1.02,0.18
6.00,87.97,84.78,1.02,0.45
7.00,87.22,81.98,1.10,0.71
8.00,87.22,81.42,1.12,0.48
9.00,88.35,81.01,1.01,0.45
10.00,87.91,80.87,1.05,0.79
11.00,88.04,84.08,1.04,0.63
12.00,88.10,83.94,0.99,0.62
13.00,87.55,81.12,1.03,0.88
14.00,87.86,85.06,1.02,0.55
15.00,88.23,88.97,1.04,0.38
16.00,87.42,88.69,1.01,0.25
17.00,87.54,87.85,1.00,0.57
18.00,80.26,83.94,0.96,0.25
19.00,81.91,88.69,1.00,0.38
20.00,81.81,85.47,0.99,0.43
21.00,87.82,88.69,0.90,0.18
22.00,85.24,87.85,0.93,0.19
23.00,86.69,89.25,0.91,1.14
24.00,79.09,89.94,1.21,0.76
