# epoch,acc,val_acc,loss_train,val_loss
0.00,81.91,79.69,1.01,0.41
1.00,81.72,79.47,1.03,0.33
2.00,82.18,79.33,0.95,0.51
3.00,81.76,80.03,0.95,0.31
4.00,81.57,79.47,1.01,0.37
5.00,82.65,79.33,1.06,0.25
6.00,82.32,78.49,0.97,0.30
7.00,82.05,78.77,1.03,0.29
8.00,82.24,79.19,0.94,0.29
9.00,82.28,79.33,0.94,0.38
10.00,82.51,78.91,0.97,3.98
11.00,82.47,79.61,1.08,2.43
12.00,82.21,80.17,1.03,0.29
13.00,82.53,79.30,1.13,0.42
14.00,82.53,79.61,1.07,0.33
15.00,81.70,79.47,0.97,0.51
16.00,82.30,80.03,1.12,0.31
17.00,82.35,79.47,1.02,0.37
18.00,82.66,79.33,1.01,0.25
19.00,82.54,78.63,0.99,0.30
20.00,82.30,78.91,0.95,0.29
21.00,82.73,79.33,0.94,0.29
22.00,82.97,79.47,0.96,0.38
23.00,82.98,79.05,0.98,3.96
24.00,81.44,79.75,1.08,2.41
25.00,82.89,80.31,1.14,0.28
26.00,82.20,79.43,0.96,0.42
27.00,83.14,79.75,1.20,0.33
28.00,81.86,79.61,1.02,0.51
29.00,82.73,80.17,0.95,0.31
30.00,82.43,79.47,1.01,0.37
31.00,82.61,79.47,1.15,0.25
32.00,82.99,78.63,1.01,0.30
33.00,82.57,78.91,1.20,0.29
34.00,82.08,79.33,1.00,0.29
