# epoch,acc,val_acc,loss_train,val_loss
0.00,72.42,63.28,2.18,1.41
1.00,71.02,61.23,1.89,1.02
2.00,68.66,54.95,1.73,0.97
3.00,66.45,50.21,1.63,1.11
4.00,64.03,46.16,1.58,1.05
5.00,62.57,43.65,1.58,1.26
6.00,61.27,42.12,1.55,1.22
7.00,60.96,41.98,1.56,1.15
8.00,60.54,40.17,1.55,1.32
9.00,60.61,39.33,1.54,1.29
10.00,61.06,40.31,1.50,0.52
11.00,61.20,35.15,1.53,0.08
12.00,61.00,33.19,1.52,1.19
13.00,60.35,38.41,1.52,1.78
14.00,60.74,41.84,1.49,1.32
15.00,62.10,40.31,1.47,1.20
16.00,63.76,39.47,1.41,1.22
17.00,67.09,41.56,1.29,1.08
18.00,70.15,46.44,1.22,1.13
19.00,71.02,51.05,1.16,0.98
20.00,73.25,60.95,1.06,0.81
21.00,73.19,65.55,1.06,0.79
22.00,74.40,67.36,1.03,0.65
23.00,75.34,69.46,0.99,0.38
24.00,75.60,68.48,0.99,0.17
25.00,74.84,66.95,1.00,0.48
26.00,76.96,69.53,0.93,1.24
27.00,76.33,72.11,0.97,0.75
28.00,76.56,70.29,0.95,0.65
29.00,76.63,68.62,0.94,0.68
30.00,77.31,69.87,0.94,0.58
31.00,77.12,69.74,0.95,0.74
32.00,77.61,69.18,0.92,0.71
33.00,77.50,69.87,0.93,0.68
34.00,77.96,70.43,0.92,0.74
