# epoch,acc,val_acc,loss_train,val_loss
0.00,59.84,30.08,1.52,1.99
1.00,58.51,31.94,1.49,1.43
2.00,58.47,31.94,1.48,1.41
3.00,60.58,44.77,1.46,0.99
4.00,60.93,29.57,1.42,1.30
5.00,60.12,36.54,1.43,1.27
6.00,60.87,34.17,1.44,1.39
7.00,60.03,37.94,1.45,1.21
8.00,61.06,33.05,1.42,1.39
9.00,60.70,31.94,1.45,1.56
10.00,62.41,26.92,1.38,0.51
11.00,61.06,27.75,1.44,0.07
12.00,62.20,26.36,1.40,1.48
13.00,62.10,30.60,1.39,1.76
14.00,60.88,29.99,1.40,1.59
15.00,62.21,25.24,1.38,1.59
16.00,62.30,29.85,1.39,1.37
17.00,62.23,32.08,1.38,1.26
18.00,63.21,23.15,1.38,1.75
19.00,61.62,29.99,1.37,1.36
20.00,63.27,20.22,1.35,1.67
21.00,62.66,27.20,1.36,1.47
22.00,62.49,23.71,1.37,1.57
23.00,62.14,36.68,1.36,0.45
24.00,62.15,19.94,1.38,0.06
25.00,62.56,26.50,1.39,1.36
26.00,63.06,27.60,1.36,1.61
27.00,62.98,25.52,1.37,1.55
28.00,63.74,23.57,1.33,1.54
29.00,63.44,20.92,1.34,1.68
30.00,63.83,29.15,1.32,1.45
31.00,63.97,24.69,1.35,1.91
32.00,62.61,24.55,1.36,1.53
33.00,64.04,21.90,1.36,1.66
34.00,62.78,28.59,1.37,1.60
