# epoch,acc,val_acc,loss_train,val_loss
0.00,52.89,21.35,1.85,1.81
1.00,33.24,15.48,2.12,1.35
2.00,28.58,15.48,1.96,1.22
3.00,28.71,15.48,1.96,1.10
4.00,28.18,15.48,1.96,1.15
5.00,28.67,15.48,1.97,1.33
6.00,28.59,15.48,1.97,1.10
7.00,28.62,15.48,1.97,1.18
8.00,28.10,15.48,1.96,1.27
9.00,28.59,15.48,1.96,1.24
10.00,28.71,15.48,1.97,0.58
11.00,28.48,8.93,1.96,0.38
12.00,28.45,6.56,1.96,1.27
13.00,28.31,14.45,1.96,1.22
14.00,28.64,15.48,1.96,1.20
15.00,28.68,15.48,1.96,1.19
16.00,28.01,15.48,1.96,1.14
17.00,28.84,15.48,1.97,1.16
18.00,28.85,15.48,1.97,1.14
19.00,28.16,15.48,1.96,1.16
20.00,28.77,15.48,1.97,1.20
21.00,28.25,15.48,1.96,1.18
22.00,28.33,15.48,1.96,1.21
23.00,28.81,15.48,1.97,0.58
24.00,28.47,8.93,1.96,0.39
25.00,28.83,6.56,1.97,1.24
26.00,28.20,14.45,1.96,1.22
27.00,28.87,15.48,1.97,1.25
28.00,28.74,15.48,1.97,1.24
29.00,28.15,15.48,1.96,1.18
30.00,28.78,15.48,1.97,1.28
31.00,28.67,15.48,1.96,1.26
32.00,27.80,15.48,1.96,1.24
33.00,28.53,15.48,1.96,1.16
34.00,29.17,15.48,1.97,1.15
