Epoch;Acc;val_acc;Loss_train;Loss_test;
0;72.41628170013428;63.28125;2.1784901051818637;1.4086217880249023;
1;71.01616859436035;61.227333545684814;1.8903949775541626;1.0238398313522339;
2;68.66339445114136;54.95118498802185;1.7320385356422936;0.9733490347862244;
3;66.45496487617493;50.209206342697144;1.6259591777660556;1.1128889322280884;
4;64.03002142906189;46.16457521915436;1.5808908584211494;1.0454576015472412;
5;62.57216930389404;43.65411400794983;1.575138511063045;1.2615163326263428;
6;61.27309203147888;42.11994409561157;1.5532089576434869;1.2193655967712402;
7;60.95554232597351;41.980475187301636;1.5613882475582062;1.1486940383911133;
8;60.5369508266449;40.16736447811127;1.5476244635725132;1.3192784786224365;
9;60.60912013053894;39.33054506778717;1.5389410017819658;1.28608238697052;
10;61.05658411979675;40.306833386421204;1.5040689445257738;0.5204281210899353;
11;61.195528507232666;35.14644205570221;1.5312246423248852;0.07980100810527802;
12;60.99884510040283;33.193862438201904;1.5242694643848762;1.1895726919174194;
13;60.348838567733765;38.41145932674408;1.5209152579307557;1.7771376371383667;
14;60.739028453826904;41.84100329875946;1.4935230135091733;1.3231290578842163;
15;62.095844745635986;40.306833386421204;1.4701582190621532;1.1963882446289062;
16;63.75577449798584;39.47001397609711;1.410774983379637;1.2238192558288574;
17;67.09007024765015;41.56206548213959;1.288195644735464;1.0762025117874146;
18;70.15011310577393;46.44351601600647;1.220971669390901;1.1334120035171509;
19;71.01616859436035;51.04602575302124;1.1552960071497647;0.9781464338302612;
20;73.2534646987915;60.94839572906494;1.0617747873962613;0.814307689666748;
21;73.19380640983582;65.55090546607971;1.0560882605543924;0.7911936044692993;
22;74.40406680107117;67.36401915550232;1.0253368505211764;0.6510568857192993;
23;75.34403800964355;69.45606470108032;0.9938900662124703;0.3761424124240875;
24;75.59593319892883;68.47977638244629;0.9919382098109223;0.17135660350322723;
25;74.84122514724731;66.94560647010803;0.9959109176389064;0.47839319705963135;
26;76.9630491733551;69.53125;0.930924657998955;1.2430787086486816;
27;76.32794380187988;72.10599780082703;0.9658714497061855;0.7535619735717773;
28;76.55889391899109;70.29288411140442;0.9498072759383821;0.6523669958114624;
29;76.63417458534241;68.61924529075623;0.941653192590136;0.6826230883598328;
30;77.31104493141174;69.87447738647461;0.940115789618603;0.5811275839805603;
31;77.12182402610779;69.73500847816467;0.9494994639249101;0.7380932569503784;
32;77.60894298553467;69.17712688446045;0.921283702784722;0.7068464159965515;
33;77.49999761581421;69.87447738647461;0.9295212105263111;0.6774030327796936;
34;77.95900702476501;70.43235898017883;0.9165505925171921;0.740577220916748;
