# epoch,acc,val_acc,loss_train,val_loss
0.00,43.23,37.76,1.93,0.93
1.00,36.79,16.04,1.93,1.00
2.00,30.53,15.48,3.08,1.20
3.00,28.39,15.48,1.96,1.21
4.00,28.51,15.48,1.96,1.16
5.00,28.72,15.48,1.97,1.23
6.00,28.29,15.48,1.96,1.30
7.00,28.31,15.48,1.96,1.28
8.00,28.90,15.48,1.97,1.24
9.00,28.37,15.48,1.96,1.26
10.00,28.70,15.48,1.97,0.58
11.00,28.18,8.93,1.96,0.33
12.00,28.45,6.56,1.96,1.26
13.00,28.59,14.45,1.96,1.16
14.00,28.72,15.48,1.96,1.14
15.00,29.59,15.48,2.50,1.18
16.00,28.32,15.48,1.96,1.16
17.00,28.90,15.48,1.97,1.24
18.00,28.31,15.48,1.96,1.09
19.00,28.60,15.48,1.96,1.13
20.00,28.28,15.48,1.96,1.22
21.00,28.88,15.48,1.97,1.28
22.00,28.29,15.48,1.96,1.16
23.00,28.52,15.48,1.96,0.58
24.00,28.54,8.93,1.96,0.38
25.00,28.58,6.56,1.97,1.27
26.00,28.33,14.45,1.96,1.25
27.00,28.55,15.48,1.96,1.31
28.00,28.72,15.48,1.97,1.16
29.00,28.15,15.48,1.96,1.21
30.00,28.68,15.48,1.96,1.20
31.00,28.35,15.48,1.96,1.20
32.00,28.45,15.48,1.96,1.14
33.00,28.58,15.48,1.96,1.18
34.00,28.80,15.48,1.96,1.34
35.00,28.48,15.48,1.96,1.36
36.00,28.31,15.48,1.96,0.58
37.00,28.68,8.93,1.96,0.31
38.00,28.78,6.56,1.97,1.24
39.00,28.28,14.45,1.96,1.20
40.00,28.21,15.48,1.96,1.21
41.00,28.63,15.48,1.97,1.04
42.00,29.32,15.48,1.98,1.30
43.00,27.74,15.48,1.95,1.29
44.00,29.01,15.48,1.97,1.30
45.00,28.07,15.48,1.96,1.33
46.00,29.30,15.48,1.97,1.31
47.00,27.44,15.48,1.95,1.13
48.00,28.90,15.48,1.97,1.25
49.00,28.38,15.48,1.96,0.58
50.00,28.83,8.93,1.97,0.34
51.00,28.81,6.56,1.97,1.32
52.00,28.01,14.45,1.96,1.29
53.00,28.60,15.48,1.97,1.24
54.00,28.27,15.48,1.96,1.20
55.00,29.11,15.48,1.97,1.18
56.00,28.20,15.48,1.96,1.23
57.00,28.75,15.48,1.97,1.25
58.00,28.28,15.48,1.96,1.17
59.00,29.14,15.48,1.97,1.23
60.00,27.88,15.48,1.95,1.23
61.00,28.62,15.48,1.96,1.22
62.00,28.52,15.48,1.96,0.58
63.00,28.33,8.93,1.96,0.37
64.00,28.78,6.56,1.96,1.17
65.00,28.02,14.45,1.96,1.17
66.00,28.80,15.48,1.97,1.16
67.00,28.78,15.48,1.97,1.25
