Epoch;Acc;val_acc;Loss_train;Loss_test;
0;52.8436005115509;40.625;79946299293536.52;150410.765625;
1;49.05213415622711;40.625;353919.2383946423;60053.5078125;
2;48.104265332221985;40.625;1088904.20867891;202764.109375;
3;50.47393441200256;59.375;548149.4577902844;0.0;
4;44.67592537403107;40.625;277798.82242838544;34801.828125;
5;51.456308364868164;59.375;14310161.04088289;0.0;
6;52.1327018737793;59.375;2932174.796372834;0.0;
7;52.36966609954834;40.625;46150.63640084651;27523.18359375;
8;46.20853066444397;59.375;4809.099712697251;0.00020702493202406913;
9;55.21327257156372;40.625;8.732012002953986;1.118837833404541;
10;44.67592537403107;59.375;5.689723350383617;0.05764801800251007;
11;51.895731687545776;59.375;6.0636353989913;0.15969286859035492;
12;53.79146933555603;40.625;5.609192906962752;1.2295645475387573;
13;50.47393441200256;59.375;5.496041917122936;0.6723050475120544;
14;51.42180323600769;59.375;4.584053355935626;0.23962147533893585;
15;50.72815418243408;59.375;4.7477675549034934;0.43918874859809875;
16;49.30555522441864;40.625;4.836428112453884;0.721858561038971;
17;52.36966609954834;40.625;4.7234625262671734;0.6972499489784241;
18;51.18483304977417;40.625;4.922048819573569;0.9179573655128479;
19;50.94786882400513;40.625;4.7531483546252495;1.1737029552459717;
20;48.05825352668762;40.625;4.795555987404388;1.0601574182510376;
21;51.62037014961243;40.625;4.568541535624751;0.8301330804824829;
22;49.05213415622711;40.625;4.542858033383627;0.9118040800094604;
23;46.844661235809326;59.375;4.903382624237283;0.3828628361225128;
24;49.07407462596893;59.375;4.757015034004494;0.3493993878364563;
25;54.265403747558594;40.625;5.1199259102627;1.1028895378112793;
26;44.312795996665955;40.625;5.1218519979178625;0.8509789705276489;
27;48.104265332221985;40.625;5.086237719838653;1.3310859203338623;
28;48.81516695022583;40.625;4.9362212877137965;2.039952278137207;
29;46.20853066444397;40.625;5.612124282601886;1.3157190084457397;
30;46.68246507644653;59.375;4.753440145067694;0.5684701800346375;
31;51.42180323600769;59.375;4.591556725343822;0.40092697739601135;
32;50.0;40.625;4.675893785829228;1.7302324771881104;
33;50.23696422576904;40.625;5.493931756765357;1.262463927268982;
34;51.65876746177673;59.375;4.6663649116082215;0.4209875166416168;
35;49.05213415622711;59.375;4.990527928158005;0.6158833503723145;
36;52.8436005115509;40.625;4.559404763000272;0.9084572196006775;
37;46.44549787044525;59.375;4.890493729668206;0.5654529333114624;
38;50.47393441200256;40.625;4.896711966437751;1.8502743244171143;
39;51.18483304977417;40.625;4.7764447808830655;0.8473454713821411;
40;49.07407462596893;59.375;4.9786042813901545;0.39096012711524963;
41;51.65876746177673;40.625;4.879789794225828;0.9214553833007812;
42;54.9763023853302;59.375;4.686806310409618;0.2611517310142517;
43;53.31753492355347;40.625;5.361358680996284;1.7247233390808105;
44;53.31753492355347;40.625;4.903085500708124;0.8166683912277222;
45;51.18483304977417;40.625;4.716032359272383;0.816105842590332;
46;51.895731687545776;59.375;5.167716268114569;0.5579252243041992;
47;47.63033092021942;40.625;4.978463988733518;0.7665547728538513;
48;52.184468507766724;59.375;4.943685108018153;0.4202408790588379;
49;46.52777910232544;40.625;5.086493474465829;0.8951022624969482;
50;47.63033092021942;40.625;5.1129687725085216;0.8859984278678894;
51;48.57819974422455;40.625;4.63352031617368;0.9061797857284546;
